antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'Crop_Paddy (Dhan)'}),frozenset({'Category_Cereals'}),0.11643805504264486,0.16824936252527917,0.11643805504264486,1.0,5.943558923438725,0.09684742650803649,inf
frozenset({'Category_Cereals'}),frozenset({'Crop_Paddy (Dhan)'}),0.16824936252527917,0.11643805504264486,0.11643805504264486,0.6920564410765613,5.943558923438725,0.09684742650803649,2.8692334012319036
frozenset({'Category_Vegetables'}),frozenset({'QueryType_\tPlant Protection\t'}),0.1336938362789062,0.22261056889123362,0.08293765936868021,0.6203551463334429,2.7867281837662667,0.05317599841738145,2.0476754092696043
frozenset({'StateName_WEST BENGAL'}),frozenset({'QueryType_\tPlant Protection\t'}),0.1190758814736657,0.22261056889123362,0.05387760485360063,0.4524644637253092,2.032538104452628,0.027370055137522803,1.4197972179083573
frozenset({'StateName_RAJASTHAN'}),frozenset({'QueryType_Weather'}),0.15857733227820275,0.4945484920425569,0.0983029983293766,0.6199057388411423,1.2534781701200661,0.019878817779059935,1.3298056814022594
frozenset({'StateName_TELANGANA'}),frozenset({'QueryType_Weather'}),0.2925569330871362,0.4945484920425569,0.14708080541633695,0.502742505071756,1.0165686745810438,0.0023972153214985026,1.016478410306076
frozenset({'StateName_UTTAR PRADESH'}),frozenset({'QueryType_Weather'}),0.15668689000263783,0.4945484920425569,0.1083047568803306,0.6912177328843995,1.397674331246204,0.030815491706688083,1.6369188317676753
frozenset({'DistrictName_ADILABAD'}),frozenset({'QueryType_Weather'}),0.06977050910050119,0.4945484920425569,0.05840587356018641,0.8371140516698173,1.6926834580213055,0.023900973495492056,3.1031007471120406
frozenset({'DistrictName_KOTA'}),frozenset({'StateName_RAJASTHAN'}),0.05572408335531522,0.15857733227820275,0.05572408335531522,1.0,6.306071527585251,0.046887506873181134,inf
frozenset({'DistrictName_ADILABAD'}),frozenset({'StateName_TELANGANA'}),0.06977050910050119,0.2925569330871362,0.06977050910050119,1.0,3.418138102036216,0.04935866293813043,inf
frozenset({'DistrictName_MAHABOOBNAGAR'}),frozenset({'StateName_TELANGANA'}),0.06295612415369735,0.2925569330871362,0.06295612415369735,1.0,3.418138102036216,0.04453787355223868,inf
"frozenset({'DistrictName_ADILABAD', 'QueryType_Weather'})",frozenset({'StateName_TELANGANA'}),0.05840587356018641,0.2925569330871362,0.05840587356018641,1.0,3.418138102036216,0.041318830317143215,inf
"frozenset({'DistrictName_ADILABAD', 'StateName_TELANGANA'})",frozenset({'QueryType_Weather'}),0.06977050910050119,0.4945484920425569,0.05840587356018641,0.8371140516698173,1.6926834580213055,0.023900973495492056,3.1031007471120406
frozenset({'DistrictName_ADILABAD'}),"frozenset({'QueryType_Weather', 'StateName_TELANGANA'})",0.06977050910050119,0.14708080541633695,0.05840587356018641,0.8371140516698173,5.6915248002635375,0.048143970887376826,5.236296950886939
